,id,count,docty,docdt,majdocty,colti,display_title,pdfurl,listing_relative_url,url_friendly_title,new_url,guid,origu,url,authors.0.author,authors.1.author,docna.0.docna,entityids.entityid,abstracts.cdata!,authors.2.author,authors.3.author,authors.4.author,authors.5.author,authors.6.author,authors.7.author,authors.8.author,EnvironmentalCategory
0,33974187,Indonesia,Policy Research Working Paper,2023-01-09T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10271; COVID-19 (Coronavirus)","Trade Policies and Sea and Air
            freight : The Impact of COVID-19 Lockdowns on Imports and Exports",http://documents.worldbank.org/curated/en/099337101092314052/pdf/IDU05ead83ae0582004dc40a4bd0ef7323feee94.pdf,/research/2023/01/33974187/trade-policies-sea-air-freight-impact-covid-19-lockdowns-imports-exports,http://documents.worldbank.org/curated/en/099337101092314052/IDU05ead83ae0582004dc40a4bd0ef7323feee94,2023/01/33974187/IDU05ead83ae0582004dc40a4bd0ef7323feee94,099337101092314052,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099337101092314052/IDU05ead83ae0582004dc40a4bd0ef7323feee94,"Majune,Socrates Kraido","Montfaucon,Angella Faith Lapukeni","Trade Policies and Sea and Air freight : The
            Impact of COVID-19 Lockdowns on Imports and Exports",33974187,"This study analyzes how Indonesia’s
            international trade was affected by its own lockdown
            policies (domestic) and those of its trading partners
            (external) in response to COVID-19. The study differentiates
            between sea freight and air freight, as well as products
            affected by specific non-tariff measures. Event-study
            results show that the decline in imports (which were more
            negatively affected than exports) was mainly attributed to
            external lockdowns, the impacts of which were more
            pronounced and persistent for imports entering Indonesia by
            air (due to restrictions to international travel) and
            imports subject to port-related non-tariff measures.
            Domestic lockdowns adversely affected intermediate imports
            subject to non-tariff measures requiring physical
            inspection, testing, and approval processes. External
            lockdowns, which also had a larger impact on exports
            relative to domestic policies, affected sea and air exports
            evenly. Demand factors (specifically, workplace closures and
            stay-at-home orders) in the partner countries were the
            drivers of the decline in exports. Enhancing trade
            facilitation to keep goods moving as smoothly as possible,
            reforming specific non-tariff measures, and improving
            customs and other procedures would ensure fewer disruptions
            from shocks in a globally integrated world.",,,,,,,,
1,33974204,Afghanistan,Policy Research Working Paper,2023-01-09T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 10272,Droughts and Welfare in Afghanistan,http://documents.worldbank.org/curated/en/099419201092321423/pdf/IDU08edcbfb706a2304b08084cd09848b36aa106.pdf,/research/2023/01/33974204/droughts-welfare-afghanistan,http://documents.worldbank.org/curated/en/099419201092321423/IDU08edcbfb706a2304b08084cd09848b36aa106,2023/01/33974204/IDU08edcbfb706a2304b08084cd09848b36aa106,099419201092321423,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099419201092321423/IDU08edcbfb706a2304b08084cd09848b36aa106,"Kochhar,Nishtha","Knippenberg,Erwin Willem Yvonnick Leon",Droughts and Welfare in Afghanistan,33974204,"This paper studies the effect of the
            2018 drought on household consumption and poverty in
            Afghanistan, a semi-arid and conflict-affected country. The
            paper combines geolocated household data with remote-sensing
            weather data on precipitation, vegetation, and temperature.
            The findings show that drought-like conditions decreased
            monthly per capita consumption expenditures and hence
            increased poverty, with a highly nonlinear relationship
            between consumption and weather shocks. When forced to cut
            back, households reduced nonfood consumption to maintain
            their food consumption; only under severe stress did they
            reduce food consumption. Households that owned agricultural
            land were more resilient to the 2018 drought. Based on the
            historical distribution of weather shocks, estimates of
            vulnerability to poverty suggest that 62.5 percent of people
            have a one in four probability of falling into poverty due
            to weather shocks. Given that climate change will exacerbate
            the frequency and severity of future droughts, these
            findings highlight the importance of investments in
            resilience and shock-responsive social protection to
            supplement urgent humanitarian assistance.",,,,,,,,
2,33974218,"Central Asia,Kazakhstan",Policy Research Working Paper,2023-01-09T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 10273,"Bank Bailouts and Fiscal
            Contingent Liabilities",http://documents.worldbank.org/curated/en/099458201092319414/pdf/IDU19770b6b41e14314efe185b111e114676ac3e.pdf,/research/2023/01/33974218/bank-bailouts-fiscal-contingent-liabilities,http://documents.worldbank.org/curated/en/099458201092319414/IDU19770b6b41e14314efe185b111e114676ac3e,2023/01/33974218/IDU19770b6b41e14314efe185b111e114676ac3e,099458201092319414,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099458201092319414/IDU19770b6b41e14314efe185b111e114676ac3e,"Mare,Davide Salvatore","Melecky,Martin",Bank Bailouts and Fiscal Contingent Liabilities,33974218,"Government intervention to bail out
            troubled banks can produce a sizable fiscal contingent
            liability. Drawing on a rich history of various forms of
            staggered bailouts, this paper studies the link between bank
            bailouts and fiscal contingent liabilities using bank-level
            data for Kazakhstan—an upper-middle-income country in
            Central Asia. The paper first estimates the probability that
            a bank in distress is bailed out, conditioning on bank
            characteristics and financial soundness. Second, it
            estimates the magnitude of bailout costs depending on the
            size of banks, their ownership type, financial soundness,
            and the type of bailout instrument used by the government.
            The latter aims to contrast the fiscal costs when the
            government uses bailout instruments without recourse on bank
            future profits—such as government purchases of bad loans
            above market value—versus instruments that require repayment
            of the public support with adequate compensation for the
            government’s alternative costs—such as properly governed
            equity injections. Third, the paper illustrates how the
            estimations could be used for projecting the expected
            contingent liabilities from bank bailouts.","Murina,Hanna",,,,,,,
3,33974316,Colombia,Policy Research Working Paper,2023-01-09T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10274; Impact Evaluation series","Bayesian Impact Evaluation with
            Informative Priors : An Application to a Colombian
            Management and Export Improvement Program",http://documents.worldbank.org/curated/en/099807301092338354/pdf/IDU08080a50008e3c047f40a8de0e4e6b95c2d2c.pdf,/research/2023/01/33974316/bayesian-impact-evaluation-informative-priors-application-colombian-management-export-improvement-program,http://documents.worldbank.org/curated/en/099807301092338354/IDU08080a50008e3c047f40a8de0e4e6b95c2d2c,2023/01/33974316/IDU08080a50008e3c047f40a8de0e4e6b95c2d2c,099807301092338354,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099807301092338354/IDU08080a50008e3c047f40a8de0e4e6b95c2d2c,"Iacovone,Leonardo","Mckenzie,David J.","Bayesian Impact Evaluation with Informative
            Priors : An Application to a Colombian Management and Export
            Improvement Program",33974316,"Policymakers often test expensive new
            programs on relatively small samples. Formally incorporating
            informative Bayesian priors into impact evaluation offers
            the promise to learn more from these experiments. A
            Colombian government program which aimed to increase
            exporting was trialed experimentally on 200 firms with this
            goal in mind. Priors were elicited from academics,
            policymakers, and firms. Contrary to these priors,
            frequentist estimation can not reject 0 effects in 2019, and
            finds some negative impacts in 2020. For binary outcomes
            like whether firms export, frequentist estimates are
            relatively precise, and Bayesian credible posterior
            intervals update to overlap almost completely with standard
            confidence intervals. For outcomes like increasing export
            variety, where the priors align with the data, the value of
            these priors is seen in posterior intervals that are
            considerably narrower than frequentist confidence intervals.
            Finally, for noisy outcomes like export value, posterior
            intervals show almost no updating from the priors,
            highlighting how uninformative the data are about such outcomes.","Meager,Rachael",,,,,,,
4,33977765,Africa,Policy Research Working Paper,2023-01-12T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10275; COVID-19 (Coronavirus); LSMS","The Evolution of COVID-19 Vaccine
            Hesitancy in Sub-Saharan Africa : Evidence from Panel Survey Data",http://documents.worldbank.org/curated/en/099622001122358675/pdf/IDU040a460160167704ede0bf7b03ec8150698fb.pdf,/research/2023/01/33977765/evolution-covid-19-vaccine-hesitancy-sub-saharan-africa-evidence-panel-survey-data,http://documents.worldbank.org/curated/en/099622001122358675/IDU040a460160167704ede0bf7b03ec8150698fb,2023/01/33977765/IDU040a460160167704ede0bf7b03ec8150698fb,099622001122358675,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099622001122358675/IDU040a460160167704ede0bf7b03ec8150698fb,"Wollburg,Philip Randolph","Markhof,Yannick Valentin","The Evolution of COVID-19 Vaccine Hesitancy
            in Sub-Saharan Africa : Evidence from Panel Survey Data",33977765,"COVID-19 vaccination rates in
            Sub-Saharan Africa lag behind other world regions, with just
            over 20 percent of the population in Sub-Saharan Africa
            fully vaccinated. To reach widespread coverage, high
            willingness to get vaccinated for COVID-19 among the
            population is considered an important prerequisite. Drawing
            on two years of panel survey data, this paper studies the
            dynamics of vaccine acceptance, its correlates, and reasons
            for hesitancy over time. The data come from multiple rounds
            of national High-Frequency Phone Surveys in five countries
            in East and West Africa (Burkina Faso, Ethiopia, Malawi,
            Nigeria, and Uganda), covering the period between 2020 and
            2022. The surveys are cross-country comparable and draw
            their samples from nationally representative sampling
            frames. The paper finds that COVID-19 vaccine acceptance has
            been high throughout the study period (68 to 98 percent).
            However, acceptance levels were lower in 2022 than in 2020
            in three countries (Burkina Faso, Malawi, and Nigeria) and
            higher in one country (Uganda). Moreover, individuals are
            observed to change their stated vaccine attitudes between
            survey rounds, to a limited extent in some countries
            (Ethiopia) and more frequently in others (Burkina Faso,
            Malawi, Nigeria, and Uganda). Vaccine hesitancy is higher in
            richer households and among those residing in urban areas,
            women, and the better educated. Conversely, hesitancy is
            lower in larger households and among heads of the household.
            The main reasons for hesitancy are concerns about side
            effects of the vaccine, its safety and efficacy, as well as
            assessments of COVID-19 risk, although these reasons
            fluctuate over time. The findings suggest that vaccine
            hesitancy is not the primary obstacle to reaching greater
            vaccine coverage in Sub-Saharan Africa. Instead, low
            coverage rates may be related to access and delivery
            barriers as well as supply shortages. Nevertheless, vaccine
            attitudes appear malleable so that continued efforts are
            needed to retain high levels of vaccine acceptance.","Kanyanda,Shelton Sofiel Elisa","Zezza,Alberto",,,,,,
5,33978763,"World,Poland",Policy Research Working Paper,2023-01-13T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 10276,"What Makes an Investment
            Promotion Agency Effective ? Findings from a Structural
            Gravity Model",http://documents.worldbank.org/curated/en/099144501132320106/pdf/IDU0db197ce406d740471308edd040f4f19f6f35.pdf,/research/2023/01/33978763/makes-investment-promotion-agency-effective-findings-structural-gravity-model,http://documents.worldbank.org/curated/en/099144501132320106/IDU0db197ce406d740471308edd040f4f19f6f35,2023/01/33978763/IDU0db197ce406d740471308edd040f4f19f6f35,099144501132320106,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099144501132320106/IDU0db197ce406d740471308edd040f4f19f6f35,"Steenbergen,Victor",,"What Makes an Investment Promotion Agency
            Effective ? Findings from a Structural Gravity Model",33978763,"Although many countries have
            established investment promotion agencies over the past two
            decades, there is little evidence on what characteristics
            make them effective in attracting foreign direct investment
            into their home country. To provide new insight into this
            question, this paper brings together sectoral foreign direct
            investment data with survey data on investment promotion
            agency characteristics. Using a structural gravity model
            framework, it explores the effect of investment promotion
            agencies’ sectoral targeting on inward foreign direct
            investment stocks over 2013 to 2018, across a sample of 36
            middle- and high-income countries. The study finds that
            investment promotion agency sectoral targeting provides a
            significant positive effect on the sector’s foreign direct
            investment stock in that country. Yet, a gravity model with
            country-interaction effects suggests that not all countries
            are equally effective at promoting investment. The results
            from the model are used to define two groups:
            high-performing investment promotion agencies (those with
            positive, significant effects in attracting foreign direct
            investment) and other investment promotion agencies (those
            with insignificant or negative significant effects). Using
            t-tests, the study considers which investment promotion
            agency characteristics significantly differ between the two
            groups. The findings suggest that effective investment
            promotion agencies are more likely to be private or
            semi-private agencies. Their mandate tends to be focused
            narrowly on foreign investment and exclude responsibilities
            for domestic investment promotion. Such investment promotion
            agencies are more likely to have a board of directors, and
            their staff tends to be better compensated. Finally,
            high-performing investment promotion agencies tend to
            provide more investor services, partly by engaging smart,
            sectoral analytics and adopting systems for identifying
            investor complaints or disputes.",,,,,,,,
6,33980908,World,Policy Research Working Paper,2023-01-17T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 10277,"Deep Trade Agreements and
            Heterogeneous Firms Exports",http://documents.worldbank.org/curated/en/099605501172327664/pdf/IDU04fec23710206704cba0ba590e69fb87bda98.pdf,/research/2023/01/33980908/deep-trade-agreements-heterogeneous-firms-exports,http://documents.worldbank.org/curated/en/099605501172327664/IDU04fec23710206704cba0ba590e69fb87bda98,2023/01/33980908/IDU04fec23710206704cba0ba590e69fb87bda98,099605501172327664,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099605501172327664/IDU04fec23710206704cba0ba590e69fb87bda98,"Neri--Lainé,Matteo","Orefice,Gianluca","Deep Trade Agreements and Heterogeneous
            Firms Exports",33980908,"This paper studies the effect of
            regional trade agreements on firms’ exports. Using detailed
            information on the content of trade agreements and
            firm-level exports for 31 developing countries between 2000
            and 2020, the analysis shows that the depth of trade
            agreements matters for the export performance of firms.
            Moving from shallow to deep trade agreements boosts firms’
            exports, on average, by 3.6 percent. In line with models of
            trade with heterogeneous firms, the trade impact of deep
            trade agreements depends on firm’s characteristics. The
            impact is stronger for large firms and firms involved in
            global value chains and is negative for small firms.
            Robustness tests and an Instrumental Variable strategy
            confirm the causal interpretation of the results. These
            heterogeneous impacts on firms’ exports imply a selection
            effect of deep trade agreements with significant welfare consequences.","Ruta,Michele",,,,,,,
7,33981657,World,Policy Research Working Paper,2023-01-18T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 10278,"Outcomes for Internally Displaced
            Persons and Refugees in Low and Middle-Income Countries",http://documents.worldbank.org/curated/en/099344301182317063/pdf/IDU01413862f0e0e004212092d20c1563ef562b1.pdf,/research/2023/01/33981657/outcomes-internally-displaced-persons-refugees-low-middle-income-countries,http://documents.worldbank.org/curated/en/099344301182317063/IDU01413862f0e0e004212092d20c1563ef562b1,2023/01/33981657/IDU01413862f0e0e004212092d20c1563ef562b1,099344301182317063,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099344301182317063/IDU01413862f0e0e004212092d20c1563ef562b1,"Schuettler,Kirsten","Do,Quy-Toan","Outcomes for Internally Displaced Persons
            and Refugees in Low and Middle-Income Countries",33981657,"The paper takes stock of the growing
            quantitative literature on outcomes for the forcibly
            displaced in low- and middle-income countries, where 85
            percent of refugees and nearly all internally displaced
            persons live. The main takeaway is that forced dis-
            placement research has now become a full-fledged sub-field
            of the migration literature: it addresses the same questions
            of economic and social integration, returns, and the impact
            of conditions and policies in the destination country. Yet,
            the specificity of the sub-field lies in the analysis of
            migration of a particularly vulnerable population because of
            the forced selection into displacement and because those
            forcibly displaced have experienced shocks before and during
            displacement, including the loss of physical assets, human
            capital, and mental health.",,,,,,,,
8,33986022,Morocco,Policy Research Working Paper,2023-01-24T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 10279,"Job Displacement and Reallocation
            Failure : Evidence from Climate Shocks in Morocco",http://documents.worldbank.org/curated/en/099339101242320780/pdf/IDU02473fb7e011d104a790ab0606dd5a41b0c10.pdf,/research/2023/01/33986022/job-displacement-reallocation-failure-evidence-climate-shocks-morocco,http://documents.worldbank.org/curated/en/099339101242320780/IDU02473fb7e011d104a790ab0606dd5a41b0c10,2023/01/33986022/IDU02473fb7e011d104a790ab0606dd5a41b0c10,099339101242320780,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099339101242320780/IDU02473fb7e011d104a790ab0606dd5a41b0c10,"Alfani,Federica","Molini,Vasco","Job Displacement and Reallocation Failure :
            Evidence from Climate Shocks in Morocco",33986022,"This paper investigates the effects
            of severe drought shocks in Morocco’s agriculture sector.
            Using a staggered difference-in-differences design, the
            estimates show that climatic shocks produced job
            displacement of about 6.5 percentage points for workers who
            were exposed to severe drought events. Overall, about 45
            percent of these workers remained unemployed, generating a
            partial reallocation failure. The effects are significant
            only for severe and extreme shocks; they last for at least
            five years, and are more pronounced among females and the
            least educated workers.","Pallante,Giacomo","Palma,Alessandro",,,,,,
9,33986029,Philippines,Policy Research Working Paper,2023-01-24T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 10281,"Do Cash Transfer Programs Protect
            from Poverty in the Case of Aggregate Shocks ? A Study on
            Typhoon Yolanda in the Philippines",http://documents.worldbank.org/curated/en/099350301242346703/pdf/IDU07673db600f27b043a108b1f0a2d1ee403854.pdf,/research/2023/01/33986029/cash-transfer-programs-protect-poverty-case-aggregate-shocks-study-typhoon-yolanda-philippines,http://documents.worldbank.org/curated/en/099350301242346703/IDU07673db600f27b043a108b1f0a2d1ee403854,2023/01/33986029/IDU07673db600f27b043a108b1f0a2d1ee403854,099350301242346703,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099350301242346703/IDU07673db600f27b043a108b1f0a2d1ee403854,"Pfutze,Tobias",,"Do Cash Transfer Programs Protect from
            Poverty in the Case of Aggregate Shocks ? A Study on Typhoon
            Yolanda in the Philippines",33986029,"Cash transfer programs are regarded
            as providing effective protection against poverty and
            household-specific negative income shocks. Little research
            has been done on their performance in situations of
            aggregate negative shocks. This paper assesses the
            performance of the Philippines’ Conditional Cash Transfer
            Program in the aftermath of typhoon Yolanda in 2013. Using
            triple difference techniques, it finds that the program
            effectively protected households affected by the storm from
            falling into extreme poverty. It had the largest effect on
            nonfood consumption.",,,,,,,,
