,id,count,docty,docdt,majdocty,colti,display_title,pdfurl,listing_relative_url,url_friendly_title,new_url,guid,url,authors.0.author,authors.1.author,authors.2.author,docna.0.docna,entityids.entityid,keywd.0.keywd,geo_regions.0.geo_region,geo_regions.1.geo_region,geo_regions.2.geo_region,abstracts.cdata!,authors.3.author,authors.4.author,authors.5.author,geo_regions.3.geo_region,authors.6.author,geo_regions.4.geo_region,alt_title.0.alt_title,geo_regions.5.geo_region,geo_regions.6.geo_region,authors.7.author,authors.8.author,authors.9.author,origu,alt_title.1.alt_title,keywd.1.keywd,geo_regions.7.geo_region,geo_regions.8.geo_region
0,29326497,Ethiopia,Policy Research Working Paper,2018-01-02T00:00:00Z,"Publications & Research,Publications & Research","Policy Research working paper,no. WPS 8291","Selection, firm turnover, and
            productivity growth : do emerging cities speed up the process?",http://documents.worldbank.org/curated/en/613111514905269837/pdf/WPS8291.pdf,/research/2018/01/29326497/selection-firm-turnover-productivity-growth-emerging-cities-speed-up-process,http://documents.worldbank.org/curated/en/613111514905269837/Selection-firm-turnover-and-productivity-growth-do-emerging-cities-speed-up-the-process,2018/01/29326497/selection-firm-turnover-productivity-growth-emerging-cities-speed-up-process,613111514905269837,http://documents.worldbank.org/curated/en/613111514905269837/Selection-firm-turnover-and-productivity-growth-do-emerging-cities-speed-up-the-process,"Zeufack,Albert G.","Mengistae,Taye Alemu","Jones,Patricia","Selection, firm turnover, and productivity
            growth : do emerging cities speed up the process?",090224b0854dbed1_1_0,"total factor productivity growth;transport
            cost;urbanization;firm entry;census data;firm
            turnover;development policy;joint product;open
            access;imperfect competition;local producer;high power;firm exit;",Sub-Saharan Africa,Middle East and North Africa,World,"This paper identifies and estimates
            the impact of firm entry and exit on plant-level
            productivity in Ethiopia as part of a selection mechanism
            that might be driving aggregate productivity growth in
            cities. Specifically, the paper investigates how firms’
            entry and exit contribute to the pace of factor reallocation
            and total factor productivity growth within industries—and
            whether these processes occur in higher numbers and rates in
            larger cities. The analysis is carried out using
            establishment census data from Ethiopia that cover the
            period from year 2000 to 2010. Importantly, these data
            include information on plants’ physical outputs and their
            prices, which allows distinguishing between revenue-based
            measures of total factor productivity (TFPR) and those based
            on physical productivity (TFPQ). The analysis reveals that
            these two measures generate very different results under
            imperfect competition, suggesting that physical productivity
            measures (TFPQ) are better suited to examining firm dynamics
            when local producers have some degree of market power. In
            addition, the findings show that less productive (higher
            cost) firms are more likely to exit than their more
            productive (lower cost) rivals—but the analysis controls for
            producers’ transport costs. This is consistent with the
            probability of firm exit being higher when transport costs
            are lower.",,,,,,,,,,,,,,,,,
1,29330969,World,Policy Research Working Paper,2018-01-03T00:00:00Z,"Publications & Research,Publications & Research","Policy Research working paper,no. WPS 8292","How effective are early grade
            reading interventions ? a review of the evidence",http://documents.worldbank.org/curated/en/289341514995676575/pdf/WPS8292.pdf,/research/2018/01/29330969/effective-early-grade-reading-interventions-review-evidence,http://documents.worldbank.org/curated/en/289341514995676575/How-effective-are-early-grade-reading-interventions-a-review-of-the-evidence,2018/01/29330969/How-effective-are-early-grade-reading-interventions-a-review-of-the-evidence,289341514995676575,http://documents.worldbank.org/curated/en/289341514995676575/How-effective-are-early-grade-reading-interventions-a-review-of-the-evidence,"Kelly,Sean","Graham,Jimmy",,"How effective are early grade reading
            interventions ? a review of the evidence",090224b0854e73b6_1_0,"early grade;rates of return to
            education;standard deviation;short period of time;higher
            level of education;high rate of literacy;reform of education
            system;community support for school;basic education
            program;improvement in literacy;impact of
            intervention;literacy and numeracy;propensity score
            matching;approach to teaching;Early Childhood
            Development;effective teacher training;higher education
            quality;provision of material;mother tongue language;student
            per class;access for girl;returns to schooling;student learn
            outcome;education for all;Child development;teacher training
            program;Teacher Professional Development;labor market
            demand;teacher training standard;provision of
            information;Access to Education;basic literacy skill;cohort
            of student;quality of instruction;average class
            size;Benefits of Education;reading fluency;Teachers;school
            year;reading comprehension;treatment group;contextual
            factor;advanced skill;Student Assessment;reading
            skill;reading material;longitudinal study;reading
            instruction;instructional material;random selection;basic
            reading;social impact;early reading;instructional
            guide;national literacy;practical skill;program
            evaluation;cognitive skill;language group;intervention
            impact;cost information;literacy development;Learning and
            Innovation Credit;education intervention;enrollment
            rate;literacy intervention;teaching method;instructional
            technique;literacy instruction;research show;search
            term;teacher incentive;cognitive neuroscience;short-term
            intervention;unpublished documents;resource center;long-term
            effect;external shock;universal literacy;economic
            research;study including;community involvement;negative
            result;reading outcome;school infrastructure;information
            center;education outcome;school level;statistical
            significance;instructional program;digital dividend;school
            school;life skill;absolute change;baseline assessment;school
            day;average score;school system;student school;district
            officials;Education Research;open access;leadership
            training;formative evaluation;learning material;education
            initiative;measurement tool;assessment result;socioeconomic
            background;Education Policy;quality education;skill
            acquisition;reading level;local culture;illiteracy
            rate;supplementary material;national samples;negative
            effect;school administrator;upper primary;reading
            problem;subject matter;reading ability;cognitive
            research;educational quality;intervention measure;learning
            objective;student ability;intensive training;societal
            costs;classroom instruction;causal impact;evaluation
            study;early literacy;global monitoring;positive
            impact;research activities;research activity;teacher
            preparation;student skill;reading activity;school
            readiness;meta analysis;linguistic factors;children's
            book;student cost;teacher ratio;classroom
            requirement;private return;manual skill;effective
            training;private rate;rising demand;teacher
            capacity;literacy curriculum;illiterate individual;program
            impact;teacher quality;pilot studies;regression
            analysis;development policy;general effectiveness;behavioral science;",,,,"It is imperative that students learn
            to read in the early grades, yet many fail to do so in
            developing countries. Early grade reading interventions have
            emerged as a common means to attempt to address this
            problem. This paper presents a definition of early grade
            reading interventions as interventions that employ a
            combination of five components: at a minimum, they must
            train teachers to teach reading using simplified
            instructional techniques and evidence-based curricula. In
            addition, they typically include in-class coaching and the
            provision of instructional guidelines, instructional
            materials, or tools for student assessment. To develop a
            better understanding of the effectiveness of the
            interventions, the paper summarizes evidence from 18 early
            grade reading interventions, occurring across a large
            variety of contexts, including four World Bank regions and
            three World Bank income groups. The study finds that early
            grade reading interventions are consistently effective,
            although not infallible. The large majority had highly
            significant impacts on at least one reading subtask.
            However, only for a few interventions were effect sizes
            large enough to equate to more than a year's worth of
            schooling or create fluent readers on average. The cost of
            implementation varied widely, but some programs were highly
            cost-effective. Some programs failed to achieve impact
            altogether, although these programs were in the minority. In
            short, early grade reading interventions are not a
            guaranteed means to improve reading, and they rarely lead to
            fluency over a short span of time, but they are a mostly
            reliable means to make significant improvements in literacy
            over a short period of time.",,,,,,,,,,,,,,,,,
2,29473545,Mexico,Policy Research Working Paper,2018-01-08T00:00:00Z,"Publications & Research,Publications & Research","Policy Research working paper,no. WPS 8294","Micro-level analysis of Mexican
            retail markets and their response to changes in market
            structure and competition policies",http://documents.worldbank.org/curated/en/110401515422368009/pdf/WPS8294.pdf,/research/2018/01/29473545/micro-level-analysis-mexican-retail-markets-response-changes-market-structure-competition-policies,http://documents.worldbank.org/curated/en/110401515422368009/Micro-level-analysis-of-Mexican-retail-markets-and-their-response-to-changes-in-market-structure-and-competition-policies,2018/01/29473545/Micro-level-analysis-of-Mexican-retail-markets-and-their-response-to-changes-in-market-structure-and-competition-policies,110401515422368009,http://documents.worldbank.org/curated/en/110401515422368009/Micro-level-analysis-of-Mexican-retail-markets-and-their-response-to-changes-in-market-structure-and-competition-policies,"Iacovone,Leonardo","Gonzalez,Alvaro S.","Sanchez Bayardo,Luis Fernando","Micro-level analysis of Mexican retail
            markets and their response to changes in market structure
            and competition policies",090224b08550bf52_1_0,"average price;price dispersion;cross
            elasticity of demand;cross-price elasticity of
            demand;efficient market;price volatility;retail price;market
            efficiency;behavior of price;coefficient of variation;change
            cost;price of good;consumer price index;market for
            good;mobile phone service;error correction model;long run
            equilibrium;transmission of shocks;commodity price
            risk;error correction term;degrees of freedom;rate of
            growth;measure of volatility;factor of production;local
            transportation service;constant marginal cost;commodity
            price volatility;types of good;change in demand;cost of
            living;measure of poverty;point of production;price of
            commodities;port of entry;foreign exchange market;speed of
            adjustment;integration market;descriptive
            statistic;international market;domestic price;market
            structure;transaction cost;price change;world price;price
            quote;exchange rate;price signal;Exchange Rates;literature
            review;standard deviation;transportation cost;price
            stability;trade costs;competitive market;retail
            store;unemployment rate;market power;retail market;high
            volatility;price level;black bean;price adjustment;local
            market;empirical literature;cooking oil;perfect
            competition;military presence;consumption habit;supply
            side;market integration;price difference;local price;input
            cost;arbitrage opportunity;competition policy;price
            transmission;price competition;bottled water;wholesale
            price;pinto bean;relevant market;Antitrust
            Economics;anticompetitive practices;perfect
            substitute;information cost;physical good;local
            costs;competition agency;construction material;price
            shock;personal care;urban market;economic sector;price
            movement;department stores;public market;convenience
            stores;perfect information;informal markets;market
            participant;financial market;monopolistic
            competition;perfect efficiency;external shock;performance
            criteria;open market;price behavior;Trade Policies;central
            state;selection criterion;consumption expenditure;small
            fraction;beer industry;central tendency;confidence
            interval;price decrease;spatial correlation;fixed
            effect;macroeconomic environment;stationary
            process;geographical area;macroeconomic indicator;sample
            period;small appliance;output price;foreign price;price
            series;price inflation;budget share;long-term
            relationship;antitrust authorities;government
            intervention;high transport;consumption smoothing;monopoly
            power;metropolitan area;market force;ceteris
            paribus;government interference;narrow band;price
            trend;research focus;price variation;missing
            market;regression results;residential area;temporal
            pattern;development policy;open access;physical
            location;price impact;liberalizing trade;production
            cost;market price;yellow maize;price falls;competitive
            activity;inflation level;menu cost;research
            information;potential competition;competition
            issue;aggregate market;import price;price fluctuation;bid
            price;welfare gains;trade partner;high frequency;base
            price;Trade Policy;internet kiosk;soy bean;grain
            price;empirical evidence;price convergence;imperfect
            information;geographic coverage;market friction;residential
            construction;international border;retail service;market
            coverage;local taxes;sample selection;price return;data
            gathering;perishable good;",Latin America & Caribbean,World,North America,"This paper develops the following
            price indicators to measure the relative efficiency
            (functioning) of markets: (a) price dispersion, (b) price
            volatility, and (c) price transmission (speed, completeness,
            and symmetry). The paper uses these indicators to study
            trends and conditions of the outlet level in retail prices
            for common commodities sold throughout Mexico. The analysis
            examines price patterns for each indicator across
            commodities, regions, and time. The descriptive results
            indicate that although there is (expected) heterogeneity in
            the behavior of these indicators across commodities,
            location variables explain the most variation in the
            indicators. There are clear and persistent regional- and
            commodity-specific effects. Thus, the study concludes that
            Mexico is not one, well-integrated national market. The
            study tested whether changes in these indicators (increased
            efficiency) have the expected correlation with measures
            affecting the functioning of markets. It considered changes
            in competition and entry of large retail stores in the local
            retail market. These changes affect market efficiency in the
            way theory would predict. The results suggest that these
            indicators are good measures of the relative efficiency
            (functioning) of markets. The findings also suggest that
            efforts to monitor markets using these indicators may be
            useful. For example, for policy makers who are concerned
            about the distributional effects of liberalizing trade, the
            indicators may predict where price impacts will be felt the
            most and by whom. In addition, the indicators provide
            preliminary information about relative competition levels,
            which may be helpful in saving the time and effort of the
            competition authorities and possibly making them more effective.",,,,,,,,,,,,,,,,,
3,29473552,Poland,Policy Research Working Paper,2018-01-08T00:00:00Z,"Publications & Research,Publications & Research","Policy Research working paper,no. WPS 8295","Can mothers afford to work in
            Poland : labor supply incentives of social benefits and
            childcare costs",http://documents.worldbank.org/curated/en/126541515423428331/pdf/WPS8295.pdf,/research/2018/01/29473552/can-mothers-afford-work-poland-labor-supply-incentives-social-benefits-childcare-costs,http://documents.worldbank.org/curated/en/126541515423428331/Can-mothers-afford-to-work-in-Poland-labor-supply-incentives-of-social-benefits-and-childcare-costs,2018/01/29473552/Can-mothers-afford-to-work-in-Poland-labor-supply-incentives-of-social-benefits-and-childcare-costs,126541515423428331,http://documents.worldbank.org/curated/en/126541515423428331/Can-mothers-afford-to-work-in-Poland-labor-supply-incentives-of-social-benefits-and-childcare-costs,"Morgandi,Matteo","Bargu,Ali",,"Can mothers afford to work in Poland : labor
            supply incentives of social benefits and childcare costs",090224b08550c533_1_0,"Childcare;labor force participation rate of
            woman;female labor force participation;marginal effective
            tax rate;effect of income taxes;employment rate of
            woman;high marginal tax rate;female labor market
            participation;families with child;net income gain;change in income;",South Eastern Europe and Balkans,World,,"This paper analyzes the incentives to
            labor supply faced by families, particularly mothers, with
            young children in the context of a recently introduced
            fertility promotion benefit in Poland. The paper is based on
            an adapted version of the Organisation for Economic
            Co-operation and Development's Tax-Benefit Model, which
            estimates households' net earnings after taxes and
            social transfers at different levels of wages. Since the
            recent introduction of the 500 benefit, some households face
            steep marginal tax rates due to the benefit withdrawal
            rules. Single parents with two children, and second earners
            with one child can expect their income to increase by only
            30 and 25 percent of the minimum wage, respectively, if they
            take up a job at minimum wage. If they must also pay for
            childcare, having all adults working can cause losses of up
            to 30 percent compared with if one adult stayed home.
            Although the 500 program radically contributed to reducing
            child poverty, in the absence of complementary reforms,
            these disincentives could affect more than half a million
            households, disproportionately in the lowest quintile.
            Vouchers for private childcare have been adopted by some
            municipalities in Poland to counter unmet demand for public
            nurseries. A 75 percent subsidy of typical childcare costs
            would restore the financial viability of low-paying work for
            mothers with young children. Alternative remedies include a
            reform of the eligibility and withdrawal rules of the 500 program.",,,,,,,,,,,,,,,,,
4,29476408,World,Policy Research Working Paper,2018-01-08T00:00:00Z,Publications & Research,"Policy Research working paper,no. WPS 8296,Paper is funded by the Strategic Research
            Program (SRP)","Using gross trade data to map
            archetypal GVCs",http://documents.worldbank.org/curated/en/860011515427969143/pdf/WPS8296.pdf,/research/2018/01/29476408/using-gross-trade-data-map-archetypal-gvcs,http://documents.worldbank.org/curated/en/860011515427969143/Using-gross-trade-data-to-map-archetypal-GVCs,2018/01/29476408/Using-gross-trade-data-to-map-archetypal-GVCs,860011515427969143,http://documents.worldbank.org/curated/en/860011515427969143/Using-gross-trade-data-to-map-archetypal-GVCs,"Ferrantino,Michael Joseph","Schmidt,Gabriela",,Using gross trade data to map archetypal GVCs,090224b08550cccb_1_0,trade and investment;global value chain;,,,,"This paper introduces a new, publicly
            available database for tracking merchandise trade in the
            global value chains for apparel/textile/footwear, motor
            vehicles and parts, and electronics, developed originally
            for in-depth analysis at the country level. The data enable
            tracking of intermediate and final goods trade by country.
            Among other results, the study finds that East Asia and
            Pacific is the most global value chain–intensive region, and
            Sub-Saharan Africa is the least global value chain–intensive
            region. Final assembly of motor vehicles is significantly
            more sophisticated (takes place in higher income countries),
            while final apparel is the least sophisticated global value
            chain category and is geographically dispersed. In general,
            intermediate goods are more likely to be traded within
            regions, and final goods are more likely to be traded
            between regions. South Asia produces a large value of
            relatively unsophisticated global value chain exports,
            focusing on apparel and textiles; North American exports are
            the most sophisticated. Within categories, the degree of
            product sophistication varies markedly.",,,,,,,,,,,,,,,,,
5,29480356,World,Policy Research Working Paper,2018-01-08T00:00:00Z,"Publications & Research,Publications & Research","Policy Research working paper,no. WPS 8297,Paper is funded by the Knowledge for Change
            Program (KCP)",Bank ownership : trends and implications,http://documents.worldbank.org/curated/en/810621515444012541/pdf/WPS8297.pdf,/research/2018/01/29480356/bank-ownership-trends-implications,http://documents.worldbank.org/curated/en/810621515444012541/Bank-ownership-trends-and-implications,2018/01/29480356/Bank-ownership-trends-and-implications,810621515444012541,http://documents.worldbank.org/curated/en/810621515444012541/Bank-ownership-trends-and-implications,"Cull,Robert J.","Verrier,Jeanne Emma","Martinez Peria,Maria Soledad",Bank ownership : trends and implications,090224b08550f693_1_0,,,,,"This paper presents recent trends in
            government and foreign bank ownership across countries and
            summarizes the evidence regarding the implications of bank
            ownership structure for bank performance and competition,
            financial stability, and access to finance. The evidence
            reviewed suggests that foreign-owned banks tend to be more
            efficient than domestic banks in developing countries,
            promote competition in host banking sectors, and help
            stabilize credit when host countries face idiosyncratic
            shocks. But there are trade-offs, since foreign-owned banks
            can also transmit external shocks and might not always
            contribute to expanding access to credit. The record on the
            impact of government bank ownership suggests few benefits,
            especially for developing countries.",,,,,,,,,,,,,,,,,
6,29494156,Mexico,Policy Research Working Paper,2018-01-09T00:00:00Z,"Publications & Research,Publications & Research","Policy Research working paper,no. WPS 8298","ICT adoption and wage inequality
            : evidence from Mexican firms",http://documents.worldbank.org/curated/en/295511515507675734/pdf/WPS8298.pdf,/research/2018/01/29494156/ict-adoption-wage-inequality-evidence-mexican-firms,http://documents.worldbank.org/curated/en/295511515507675734/ICT-adoption-and-wage-inequality-evidence-from-Mexican-firms,2018/01/29494156/ICT-adoption-and-wage-inequality-evidence-from-Mexican-firms,295511515507675734,http://documents.worldbank.org/curated/en/295511515507675734/ICT-adoption-and-wage-inequality-evidence-from-Mexican-firms,"Iacovone,Leonardo","Pereira Lopez,Mariana De La Paz",,"ICT adoption and wage inequality : evidence
            from Mexican firms",090224b08551a17c_1_0,"blue-collar worker;share of
            labor;white-collar worker;computer equipment;real
            wage;information and communication technology;average wage
            of worker;number of workers;manufacturing sector;adoption of
            information;wage gap;total employment;commerce sector;",Latin America & Caribbean,World,North America,"This paper uses a panel of firms from
            the Mexican Economic Censuses and analyzes at the
            microeconomic level how labor markets adapt to the adoption
            of information and communication technologies. The paper
            studies the effects of the adoption of information and
            communication technologies over the labor structure of the
            firm and wages. Thus, it assesses whether increasing the use
            of information and communication technologies leads to an
            increasing demand for skilled relative to low-skilled labor,
            and, thus, analyzes its effects on the wage gap between the
            two groups. The results of this analysis show that there is
            indeed an effect of the adoption of information and
            communication technologies over the demand for
            higher-skilled workers. However, for the manufacturing and
            services sectors, instead of increasing the wage gap between
            skilled and unskilled workers, the wage gap decreases. The
            results for the manufacturing sector appear to be driven by
            an increasing sophistication of blue-collar workers due to
            the organizational adjustments derived from the adoption of
            information and communication technologies.",,,,,,,,,,,,,,,,,
7,29494819,World,Policy Research Working Paper,2018-01-09T00:00:00Z,Publications & Research,"Policy Research working paper,no. WPS 8299","Can we measure the power of the
            grabbing hand? : a comparative analysis of different
            indicators of corruption",http://documents.worldbank.org/curated/en/113281515516828746/pdf/WPS8299.pdf,/research/2018/01/29494819/can-measure-power-grabbing-hand-comparative-analysis-different-indicators-corruption,http://documents.worldbank.org/curated/en/113281515516828746/Can-we-measure-the-power-of-the-grabbing-hand-a-comparative-analysis-of-different-indicators-of-corruption,2018/01/29494819/Can-we-measure-the-power-of-the-grabbing-hand-a-comparative-analysis-of-different-indicators-of-corruption,113281515516828746,http://documents.worldbank.org/curated/en/113281515516828746/Can-we-measure-the-power-of-the-grabbing-hand-a-comparative-analysis-of-different-indicators-of-corruption,"Hamilton,Alexander James","Hammer,Craig",,"Can we measure the power of the grabbing
            hand? : a comparative analysis of different indicators of corruption",090224b08551bf74_1_0,"corruption;descriptive statistic;subjective
            indicators;measure of corruption;political risk;commercial
            business;short period of time;quality of public
            service;Public Sector Performance Measurement;indicator of
            corruption;perception of corruption;",,,,"Sustainable Development Goal 16 is
            explicitly committed to measuring aspects of corruption over
            time, and the identification of robust indicators to do so
            is an important endeavor. This paper critically reviews the
            strengths and weaknesses of various objective and subjective
            indicators of corruption, using the standard criteria of
            validity and reliability to identify indicators most salient
            to measuring Sustainable Development Goal 16. Consistent
            with the large literature in the field, the paper finds that
            the aggregate survey-based indicators of corruption,
            especially the Corruption Perceptions Index and the World
            Bank's Control of Corruption indicator, despite some
            important reservations and limitations, are the most valid
            measures of the magnitude of overall corruption in many
            country contexts. However, in every case, the initial
            results using one indicator should be cross checked with the
            use of the other indicator, as there are some minor
            differences between how the two indicators are constructed,
            and in practice it is difficult to establish a priori which
            indicator is marginally more efficient. Furthermore,
            whenever possible, subjective indicators should be cross
            checked with objective indicators, even when the latter may
            be of a more narrow scope and time limited availability.",,,,,,,,,,,,,,,,,
8,29502623,World,Policy Research Working Paper,2018-01-11T00:00:00Z,Publications & Research,"Policy Research working paper,no. WPS 8300","Cross-border spillover effects of
            the g20 financial regulatory reforms : results from a pilot survey",http://documents.worldbank.org/curated/en/146421515705815737/pdf/WPS8300.pdf,/research/2018/01/29502623/cross-border-spillover-effects-g20-financial-regulatory-reforms-results-pilot-survey,http://documents.worldbank.org/curated/en/146421515705815737/Cross-border-spillover-effects-of-the-g20-financial-regulatory-reforms-results-from-a-pilot-survey,2018/01/29502623/Cross-border-spillover-effects-of-the-g20-financial-regulatory-reforms-results-from-a-pilot-survey,146421515705815737,http://documents.worldbank.org/curated/en/146421515705815737/Cross-border-spillover-effects-of-the-g20-financial-regulatory-reforms-results-from-a-pilot-survey,"Briault,Clive","Feyen,Erik H.B.","Skamnelos,Ilias","Cross-border spillover effects of the g20
            financial regulatory reforms : results from a pilot survey",090224b08553475a_1_0,"Credit Populaire du Maroc;foreign bank;local
            bank;market risk capital requirement;Cost of Doing
            Business;payment and settlement system;sale and repurchase
            agreement;international standard setting body;early stage of
            development;domestic financial sector;global
            bank;significant adverse impact;corporate debt market;impact
            of reforms;global financial crisis;foreign currency
            market;foreign currency lending;Counterparty Credit
            Risk;international capital market;foreign financial
            institution;return on capital;bank's balance
            sheet;regulatory reform agenda;domestic financial
            market;sovereign debt market;external credit rating;annual
            infrastructure finance;global financial
            system;internationally active bank;international financial
            institution;minimum capital requirement;minimum liquidity
            ratio;financial sector development;bank of tanzania;public
            sector entity;source of funding;bank money market;financial
            market development;cost of failure;corporate bond
            issue;types of finance;cost of finance;overseas
            remittance;movement of good;cost of fund;domestic money
            market;risk management product;Letter of Credit;foreign
            currency liquidity;high compliance costs;foreign exchange
            market;Insurance and Pension;residential real estate;high
            default risk;long-term investment purposes;risk weight;trade
            credit;high capital;risk weighting;liquidity
            measure;financial impact;financial service;SME
            credit;correspondent banking;international market;islamic
            finance;disproportionate impact;Financial
            Stability;spillover impact;housing finance;leverage
            ratio;wholesale funding;subordinated debt;international
            community;Bank Credit;fault line;global benefit;regulatory
            authority;banking system;trading activity;equity
            market;liquid asset;credit intermediation;local
            subsidiary;negative spillover;commercial financing;bank
            product;unintended consequence;derivative market;currency
            mismatch;project finance;total risk;financial product;bank
            claim;real sector;net impact;banking service;collateral
            requirement;supervisory agency;long-term liabilities;short
            maturity;quantitative evidence;government
            financing;borrowing cost;market making;domestic
            bank;long-term finance;regulatory requirement;financial
            intermediation;infrastructure financing;multiple
            choice;Banking Regulation;local market;short-term
            adjustment;regulatory capital;international activity;health
            standards;banks' market;adversely impact;cross-border
            provision;market condition;home market;market
            liquidity;regulatory standard;financial difficulties;bank
            group;country operations;long-term funding;long-term
            debt;trade book;corporate security;financing flow;crisis
            management;oligopolistic structure;improve risk;mutual
            fund;home countries;insurance companies;business
            school;reduce trade;home country;liquidity management;fund
            activity;local bond;derivative transaction;retail
            funding;initial margin;local borrower;market trading;market
            analyst;local regulation;electronic trade;retail
            banking;international debt;deposit insurance;fund
            market;international funding;investment financing;high
            volatility;capital adequacy;financial technology;project
            financing;assets side;liquidity requirement;local
            entities;liability side;sovereign entity;bilateral
            agreement;systemic risk;central counterparty;financial
            reform;bank lending;retained earnings;counterparty
            risk;correspondent account;institutional constraint;foreign
            fund;upward pressure;individual bank;lending rate;geographic
            dispersion;impact monitoring;capacity constraint;senior
            regulator;regulatory gap;business model;output
            cost;financial linkages;bank finance;investment grade;market
            participant;annual revenue;transition phase;steady
            state;ongoing work;money remitter;commodity
            finance;regulatory cost;development policy;cross-border
            spillovers;private source;open access;specific
            exception;study estimate;weighted average;Clearing
            houses;operational risk;failing bank;government bond;default
            probability;direct clearers;inherent risk;membership
            criteria;SME financing;domestic borrowers",,,,"In 2009, the G20 embarked on an
            ambitious financial regulatory reform agenda to address the
            fault lines that caused the global financial crisis.
            Although the global benefits are expected to outweigh the
            overall costs, these reforms could produce cross-border
            adverse spillover effects to individual emerging markets and
            developing economies that are not required to implement the
            reforms themselves, but are affected by their implementation
            elsewhere. To improve the evidence base on such potential
            adverse impacts, the World Bank has undertaken qualitative
            surveys of senior officials at regulatory agencies, local
            banks, and global banks that are active in seven emerging
            markets and developing economies. While important caveats
            prevent the formulation of definitive conclusions, the
            survey finds that banks and regulators routinely have
            different perspectives on the impacts. Most banks claim
            adverse effects on financial products, services, and
            markets; regulators broadly expect the effects to be
            positive over the longer term, but some recognize they may
            be negative during the transition phase. Regulators tend to
            agree that the (potential for) spillover impacts demand
            stronger home-host coordination, impose a higher supervisory
            burden, and require a stronger role for the international
            community to monitor and evaluate the impacts. The findings
            also emphasize the need for regulatory consistency within
            and between jurisdictions to ensure a level playing field.
            Taken together, more work remains to better understand the
            nature of these spillover effects, how they shape the
            provision of commercial financing to meet developmental
            objectives, and what action can be taken to mitigate any
            adverse impacts.","Gonzalez Del Mazo,Ines","Kwok Chung Yee,Brian","Rademacher,Jan",,,,,,,,,,,,,,
9,29513731,Afghanistan,Policy Research Working Paper,2018-01-17T00:00:00Z,Publications & Research,"Policy Research working paper,no. WPS 8301","Insecurity and industrial
            organization : evidence from Afghanistan",http://documents.worldbank.org/curated/en/929591516198334068/pdf/WPS8301.pdf,/research/2018/01/29513731/insecurity-industrial-organization-evidence-afghanistan,http://documents.worldbank.org/curated/en/929591516198334068/Insecurity-and-industrial-organization-evidence-from-Afghanistan,2018/01/29513731/Insecurity-and-industrial-organization-evidence-from-Afghanistan,929591516198334068,http://documents.worldbank.org/curated/en/929591516198334068/Insecurity-and-industrial-organization-evidence-from-Afghanistan,"Herskowitz,Sylvan Rene","Scherer,Thomas","Toomet,Ott","Insecurity and industrial organization :
            evidence from Afghanistan",090224b08555febb_1_0,"trade and investment;regression of
            log;enforcement of property right;standard error;survey
            data;access to information;trade and services;private sector
            investor;overvalued exchange rate;high growth rate;household
            survey data;provision of good;department of
            defense;education and health;reduction in poverty;provincial
            tax revenue;aggregate tax revenue;combination of
            land;private sector activity;distribution of wealth;social
            science research;mobile phone subscriber;national poverty
            level;barrier to entry;costs of security;perceptions of
            insecurity;principal component analysis;international
            military force;growth and development;responsibility for
            security;local private sector;foreign exchange market;engine
            of growth;implications for development;panel data
            analysis;mobile network;standard deviation;validation
            exercises;administrative datum;indicator variable;security
            provision;phone number;political instability;survey
            sample;size distribution;human capital;enterprise
            survey;physical location;limited infrastructure;firm
            location;housing price;private security;military
            spending;Business Registration;rural area;national
            survey;empirical analysis;migration pattern;business
            community;internal security;credit constraint;Civil War;air
            force;vicious cycle;special force;business practice;positive
            relationship;independent variable;security situation;public perception;",Asia,World,South Asia,"One-fifth of the world's
            population lives in countries affected by fragility,
            violence and conflict, impeding long-term economic growth.
            However, little is known about how firms respond to local
            changes in security, partly because of the difficulty of
            measuring firm activity in these settings. This paper
            presents a novel methodology for observing private sector
            activity using mobile phone metadata. Using Afghanistan as
            the empirical setting, the analysis combines mobile phone
            data from over 2,300 firms with data from several other
            sources to develop and validate measures of firm location,
            size, and economic activity. Combining these new measures of
            firm activity with geocoded data on violent events, the
            paper investigates how the private sector in Afghanistan
            responds to insecurity. The findings indicate that firms
            reduce presence in districts following major increases in
            violence, that these effects persist for up to six months,
            and that larger firms are more responsive to violence. The
            paper concludes with a discussion of potential mechanisms,
            firms' strategic adaptations, and implications for policymakers.","Ghani,Tarek F.","Blumenstock,Joshua Evan","Kapstein,Ethan Barnaby",,,,,,,,,,,,,,
