,id,count,docty,docdt,majdocty,colti,display_title,pdfurl,listing_relative_url,url_friendly_title,new_url,guid,url,authors.0.author,authors.1.author,docna.0.docna,entityids.entityid,keywd.0.keywd,geo_regions.0.geo_region,geo_regions.1.geo_region,geo_regions.2.geo_region,abstracts.cdata!,authors.2.author,authors.3.author,geo_regions.3.geo_region,geo_regions.4.geo_region,geo_regions.5.geo_region,geo_regions.6.geo_region,geo_regions.7.geo_region,geo_regions.8.geo_region,authors.4.author,keywd.1.keywd,authors.5.author,authors.6.author
0,10146082,Afghanistan,Policy Research Working Paper,2009-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 4806,"Public finance, security, and
            development : a framework and an application to Afghanistan",http://documents.worldbank.org/curated/en/551101468740671544/pdf/WPS4806.pdf,/research/2009/01/10146082/public-finance-security-development-framework-application-afghanistan,http://documents.worldbank.org/curated/en/551101468740671544/Public-finance-security-and-development-a-framework-and-an-application-to-Afghanistan,2009/01/10146082/Public-finance-security-and-development-a-framework-and-an-application-to-Afghanistan,551101468740671544,http://documents.worldbank.org/curated/en/551101468740671544/Public-finance-security-and-development-a-framework-and-an-application-to-Afghanistan,"Byrd,William","Guimbert,Stephane","Public finance, security, and development :
            a framework and an application to Afghanistan",000158349_20090105095933,"Finance & Private Sector
            Development;public provision of service;Cost of Doing
            Business;informal risk management mechanisms;access to
            health service;Public Finance Management;security and development;",Asia,South Asia,World,"Security is increasingly viewed as a
            key condition for economic growth and development. The
            authors argue that the work and impact of all development
            partners would be enhanced if the multiple linkages between
            public finance, security, and development were explicitly
            taken into account. At the extreme, in some cases better
            public finance management could have more impact on security
            than would more troops. The paper first outlines three core
            linkages between security and development-through the
            investment climate, human and social capital, and
            institutions. The authors then propose three complementary
            tools to analyze the security sector from the point of view
            of public finance management, service delivery, and
            governance. This conceptual framework is applied to the case
            of Afghanistan. The paper closes by drawing some conclusions
            about possible entry points for dialogue in this difficult area.",,,,,,,,,,,,
1,10146383,World,Policy Research Working Paper,2009-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 4807,"Are all the sacred cows dead ?
            implications of the financial crisis for macro and financial policies",http://documents.worldbank.org/curated/en/100541468157778616/pdf/WPS4807.pdf,/research/2009/01/10146383/all-sacred-cows-dead-implications-financial-crisis-macro-financial-policies,http://documents.worldbank.org/curated/en/100541468157778616/Are-all-the-sacred-cows-dead-implications-of-the-financial-crisis-for-macro-and-financial-policies,2009/01/10146383/all-sacred-cows-dead-implications-financial-crisis-macro-financial-policies,100541468157778616,http://documents.worldbank.org/curated/en/100541468157778616/Are-all-the-sacred-cows-dead-implications-of-the-financial-crisis-for-macro-and-financial-policies,"Demirguc-Kunt, Asli","Serven, Luis","Are all the sacred cows dead ? implications
            of the financial crisis for macro and financial policies",000158349_20090105103551,"asset price;Finance & Private
            Sector;conflict of interest due;institution need;monetary
            policy;accountability of government official;monetary policy
            reaction function;explicit deposit insurance
            scheme;Macroeconomics and Growth;world council of
            churches;Macroeconomics & Growth;government ownership of
            bank;asset price bubble;systemic crisis;credit default
            swap;regulation and supervision;efficient resource
            allocation;blanket deposit guarantee;rate of
            growth;financial sector development;global financial
            crisis;inflation targeting regime;provision of
            credit;response to crisis;blanket guarantee;asset management
            companies;state of insolvency;capital adequacy
            requirement;large interest rate;store of value;prompt
            corrective action;asset price volatility;controls on
            outflow;risk and vulnerability;losses to depositor;real
            estate price;asset management company;economic policy
            making;minimum capital requirement;measurement of
            risk;crisis management strategies;bank capital
            regulation;conflicts of interest;asset price boom;asset
            price inflation;measure of volatility;private sector
            funds;chance of survival;amount of fund;incentives to
            bank;systemic financial crisis;resolution of
            insolvency;source of income;development of market;safety net
            subsidy;source income;long-term adverse effects;perceptions
            of risk;private sector funding;payment of principal;private
            financial institution;Check and Balances;lack of
            knowledge;gap in information;development research
            group;automated teller machine;monetary authority;financial
            system;insolvent institution;subordinated debt;liquidity
            support;moral hazard;state ownership;capital control;capital
            outflow;insolvent bank;banking system;excessive risk;crisis
            resolution;Crisis Preparedness;market signal;market
            participant;state bank;banking crisis;financial
            service;information problem;private bank;output
            gap;uninsured depositor;asset bubble;business cycle;private
            parties;private party;preferred stock;Financial
            Stability;capitalist system;leverage ratio;fiscal cost;macro
            policy;macro policies;institutional environment;loss
            exposure;debt holder;nonperforming loan;ownership
            stake;wealth effect;Macroeconomic Policy;inflation
            forecast;short-term benefits;negative effect;deposit
            freeze;financial instability;productive asset;fiscal
            capacities;loan portfolio;political will;alternative
            strategy;financial distress;supervisory authority;output
            loss;good collateral;financial turmoil;bank
            privatization;credit crunch;bank run;public
            confidence;empirical research;Political Economy;deferred
            compensation;emergency response;prudential regulation;large
            bank;price stability;housing price;Capital Inflows;Bank
            Holidays;deposit creditor;limited guarantee;uninsured
            debt;small depositor;business borrower;emerging
            country;market information;fiat money;inflation
            objective;future productivity;optimal policy;fiscal
            deficit;standard framework;credit boom;credit
            condition;credit expansion;illiquid asset;arbitrary
            nature;industrial country;inflation control;real
            time;aggregate demand;Emerging economies;emerging
            economy;future dividend;domestic resident;employment
            contract;financial model;equity market;home price;policy
            question;future asset;short period;market failure;discount
            rate;financial regulation;market force;lending
            boom;regulatory instrument;information provision;credit
            supply;financial strength;Macroeconomic Stability;financial
            cycle;great depression;restructuring process;organizational
            restructuring;information capital;private market;individual
            bank;initial capital;viable bank;Exit Strategy;direct
            ownership;public fund;private fund;supervisory
            arrangement;fraudulent behavior;regulatory
            standard;resolution mechanism;equity holder;financial
            insolvency;government involvement;residual value;good
            information;state control;privatization program;real
            sector;incentive problem;financial fragility;capital
            accord;political force;real cost;productive use;investment
            opportunities;market economy;government provision;raising capital",,,,"The recent global financial crisis
            has shaken the confidence of developed and developing
            countries alike in the very blueprint of financial and macro
            policies that underlie the western capitalist systems. In an
            effort to contain the crisis from spreading, the authorities
            in the US and many European governments have taken
            unprecedented steps of providing extensive liquidity, giving
            assurances to bank depositors and creditors that include
            blanket guarantees, and structuring bail-out programs that
            include taking large ownership stakes in financial
            institutions, in addition to establishing programs for
            direct provision of credit to non-financial institutions.
            Emphasizing the importance of incentives and tensions
            between short term and longer term policy responses to
            crisis management, this paper draws on a large body of
            research evidence and country experiences to discuss the
            implications of the current crisis for financial and
            macroeconomic policies going forward.",,,,,,,,,,,,
2,10147052,World,Policy Research Working Paper,2009-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 4808,"Globalization and innovation in
            emerging markets",,/research/2009/01/10147052/globalization-innovation-emerging-markets,http://documents.worldbank.org/curated/en/325871468763787636/Globalization-and-innovation-in-emerging-markets,2009/01/10147052/globalization-innovation-emerging-markets,325871468763787636,http://documents.worldbank.org/curated/en/325871468763787636/Globalization-and-innovation-in-emerging-markets,"Gorodnichenko, Yuriy","Svejnar, Jan",Globalization and innovation in emerging markets,000158349_20090105142547,"standards for quality management
            system;Occupational health and safety;international
            organization for standardization;total factor productivity
            growth;replacement value of capital;movements in exchange
            rates;customs and trade regulations;product market
            competition;barrier to entry;emerging market economy;foreign
            direct investment;share of import;share of export;types of
            firms;effects of competition;effect of trade;monopolistic
            market structures;linear probability model;efficiency of
            firms;value of exports;structure of employment;educated
            labor force;liberalization of trade;unit of
            measurement;economies of scale;value of competition;size of
            population;access to land;introducing new products;engine of
            progress;benefits from innovation;share of
            professional;share of output;degree of
            competition;explanatory variable;foreign
            competition;standard deviation;measurement error;fixed
            effect;capacity utilization;point estimate;marginal
            effect;Transition economies;transition economy;robustness
            check;vertical linkage;foreign ownership;high share;supply
            chain;instrumental variable;market power;econometric
            specification;alternative measure;national market;university
            education;firm level;negative effect;panel data;quality
            accreditation;small sample;competitive position;firm
            entry;theoretical model;predictive power;alternative
            strategy;trade literature;human capital;firm
            turnover;covariance matrix;business license;vertical
            relationships;downstream activity;efficiency gain;firm
            performance;empirical literature;lagged value;linear
            relationship;downstream activities;building
            inspection;canonical correlation;Electric Power;unobserved
            characteristic;prudential supervision;confidence
            interval;exporting firms;property right;environmental
            inspection;price regulation;labor regulation;baseline
            estimates;entry barrier;aggregate variable;sectoral
            composition;firm profitability;initial value;random
            sampling;negative feedback;productivity effect;foreign
            presence;ceteris paribus;selection criterion;foreign
            market;innovative success;rural area;skilled labor;positive
            impact;university degree;foreign company;correlation
            coefficient;survey data;waste water;sales
            revenue;coefficient estimate;rail transport;knowledge
            necessary;entry rate;parsimonious model;baseline
            equation;firm survival;research assistance;transition
            countries;diagnostic analysis;domestic
            competition;International Trade;competitive
            responses;international business;advanced economy;sampling
            frame;business association;certification body;increased
            competition;transition country;quality
            certification;industrial secrecy;innovation
            activity;production technology;business service;Real
            estate;process innovation;quality system;corrective
            action;adequate records;monitoring process;physical
            objects;aggregate productivity;regional market;innovative
            output;present study;regulatory environment;empirical
            findings;comparative analysis;monopoly rent;high-tech
            industry;inefficient firms;downward pressure;institutional
            factor;conceptual framework;import activity;labor
            productivity;supplying multinationals;monopolistic
            industries;manufacturing industry;present
            evidence;technological opportunity;random variable;permanent
            worker;large shareholder;vocational school;cost
            information;geographic reach;high
            concentration;macroeconomic level;domestic
            company;reallocation effect;technological frontier;summary
            statistic;summing up;",,,,"Globalization brings opportunities
            and pressures for domestic firms in emerging markets to
            innovate and improve their competitive position. Using data
            on firms in 27 transition economies, the authors test for
            the effects of globalization through the impact of increased
            competition and foreign direct investment on domestic
            firms' efforts to innovate (raise their capability) by
            upgrading their technology, improving the quality of their
            product or service, or acquiring certification. They find
            that competition has a negative effect on innovation,
            especially for firms further from the efficiency frontier,
            and we do not find support for an inverted U effect of
            competition on innovation. The authors show that the supply
            chain of multinational enterprises and international trade
            are important channels for domestic firms' innovation.
            They detect no evidence that firms in a more pro-business
            environment are more likely to display a positive or
            inverted U relationship between competition and innovation,
            or that they are more sensitive to foreign presence.","Terrell, Katherine",,,,,,,,,,,
3,10152776,Brazil,Policy Research Working Paper,2009-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 4809,"Banking in Brazil : structure,
            performance, drivers, and policy implications",http://documents.worldbank.org/curated/en/550701468225310389/pdf/WPS4809.pdf,/research/2009/01/10152776/banking-brazil-structure-performance-drivers-policy-implications,http://documents.worldbank.org/curated/en/550701468225310389/Banking-in-Brazil-structure-performance-drivers-and-policy-implications,2009/01/10152776/Banking-in-Brazil-structure-performance-drivers-and-policy-implications,550701468225310389,http://documents.worldbank.org/curated/en/550701468225310389/Banking-in-Brazil-structure-performance-drivers-and-policy-implications,"Stephanou,Constantinos","Urdapilleta,Eduardo Martin","Banking in Brazil : structure, performance,
            drivers, and policy implications",000158349_20090107083307,"banking system;market segment;financial and
            private sector development;cost to income ratio;Securities
            and Exchange Commission;access to banking service;fixed
            costs of operation;information and communication
            technology;new york stock exchange;profit and loss;Central
            Bank of Brazil;minimum capital adequacy ratio;capital
            need;price competition;reserve requirement;retail
            banking;return on capital;net interest income;sensitivity
            analysis;international financial crisis;high reserve
            requirement;cost of fund;degree of competition;corporate
            banking;disaggregated level;industry structure;domestic
            private bank;economies of scale;positive credit
            information;information on borrower;market for loan;bank
            holding company;loan loss provision;",Latin America & Caribbean,South America,World,"The objective of this paper is to
            analyze the industry structure of banking services in Brazil
            in order to shed light on financial performance and its
            drivers at a disaggregated level. The study illustrates how
            differences across market segments - which tend to be
            averaged out in aggregate analysis - need to be taken into
            account when analyzing performance and designing public
            policy for the banking sector. In particular, retail banking
            is found to be less sensitive to price competition and to
            exhibit considerably higher returns than corporate banking.
            The authors identify and discuss the factors underlying
            revenues, costs, and risks in each market segment, and
            conclude with policy implications.",,,,,,,,,,,,
4,10153040,Europe,Policy Research Working Paper,2009-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 4810,"Unemployment and worker-firm
            matching : theory and evidence from east and west Europe",http://documents.worldbank.org/curated/en/216801468251372186/pdf/WPS4810.pdf,/research/2009/01/10153040/unemployment-worker-firm-matching-theory-evidence-east-west-europe,http://documents.worldbank.org/curated/en/216801468251372186/Unemployment-and-worker-firm-matching-theory-and-evidence-from-east-and-west-Europe,2009/01/10153040/unemployment-worker-firm-matching-theory-evidence-east-west-europe,216801468251372186,http://documents.worldbank.org/curated/en/216801468251372186/Unemployment-and-worker-firm-matching-theory-and-evidence-from-east-and-west-Europe,"Munich,Daniel","Svejnar,Jan","Unemployment and worker-firm matching :
            theory and evidence from east and west Europe",000158349_20090107090518,"returns to scale;Active Labor Market
            Policies;active labor market policy;active labor market
            program;analysis of panel data;explanatory variable;demand
            for labor;labour market;high unemployment rate;labor market
            institution;Transition economies;transition economy;partial
            adjustment model;labor force participation;mature market
            economy;inflows into unemployment;labor market
            tightness;labor market turnover;speed of adjustment;labor
            market indicator;access to information;share of labor;market
            oriented reform;labor turnover rate;public sector
            employment;term of data;standard panel data;overvalued
            exchange rate;active employment policy;labour market
            policy;labor market condition;interest rate policy;constant
            return;increasing return;transition country;transition
            countries;steady state;job destruction;correlation
            coefficient;scale effect;Macroeconomic Policy;measurement
            error;dynamic model;point estimate;marginal
            effect;unemployment problem;decreasing return;conceptual
            framework;fixed effect;monthly data;spatial mismatch;rank
            correlation;labor mobility;Job Matching;government
            subsidy;open unemployment;human capital;skill
            mismatch;rising unemployment;stock-flow
            identity;cross-sectional data;econometric
            estimate;idiosyncratic error;explanatory power;future
            research;transition period;positive bias;standard
            error;equilibrium unemployment;constant term;empirical
            work;Job Creation;functional form;state sector;Job
            Vacancies;beveridge curve;econometric methodology;negative
            coefficient;negative correlation;parameter
            estimate;employment equation;systemic feature;dynamic
            specification;population settlements;monthly
            observation;reservation wage;flow data;skill group;estimated
            elasticity;aggregate demand;exogenous factor;lagged
            change;lagged value;theoretical model;econometric
            model;linear combination;equilibrium level;unemployment
            state;positive externality;external shock;regime
            change;dynamic adjustment;empirical literature;transforming
            economies;budgetary subsidies;budgetary subsidy;labour
            force;marginal impact;diagnostic analysis;economic
            relationship;aggregate statistic;regional
            disparity;administrative effort;macro policies;macro
            policy;demand shock;fiscal deficit;alternative
            hypothesis;causal impact;estimation method;positive
            correlation;variance-covariance matrix;high power;lagged
            level;transitional economy;water level;unemployment
            duration;individual effect;random disturbance;job
            reallocation;Political Economy;animal spirits;intermediate
            range;unemployment outcome;statistical sense;international
            competition;model prediction;instrumental variable;multiple
            equilibria;firm level;observed change;causal
            relationship;flow variable;government intervention;economic
            reform;negative effect;business cycle;fiscal subsidy;banking
            sector;foregone income;high wage;raw data;registered unemployment;",,,,"The paper tests three hypotheses
            about the causes of unemployment in the Central-East
            European transition economies and in a benchmark market
            economy (Western part of Germany). The first hypothesis (H1)
            is that unemployment is caused by inefficient matching.
            Hypothesis 2 (H2) is that unemployment is caused by low
            demand. Hypothesis 3 (H3) is that restructuring is at work.
            Our estimates suggest that the west and east German parts of
            Germany, Czech Republic and Slovakia are consistent with H2
            and H3. Hungary provides limited support to all three
            hypotheses. Poland is consistent with H1. The economies in
            question hence contain one broad group of countries and one
            or two special cases. The group comprises the Czech
            Republic, Hungary, Slovak Republic and (possibly) East
            Germany. These countries resemble West Germany in that they
            display increasing returns to scale in matching and
            unemployment appears to be driven by restructuring and low
            demand. The East German case is complex because of its major
            active labor market policies and a negative trend in
            efficiency in matching. In some sense, East Germany
            resembles more Poland, which in addition to restructuring
            and low demand for labor appears to suffer from a structural
            mismatch reflected in relatively low returns to scale in
            matching. Finally, our data provide evidence that goes
            counter to one of the main predictions of the theories of
            transition, namely that the turnover (inflow) rate in the
            transition countries would rise dramatically at the start of
            the transition, be temporarily very high and gradually
            decline and approach the level observed in otherwise similar
            market economies such as West Germany.",,,,,,,,,,,,
5,10153090,"World,China",Policy Research Working Paper,2009-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 4811,"Effects of privatization and
            ownership in transition economies",http://documents.worldbank.org/curated/en/115901468330323042/pdf/WPS4811.pdf,/research/2009/01/10153090/effects-privatization-ownership-transition-economies,http://documents.worldbank.org/curated/en/115901468330323042/Effects-of-privatization-and-ownership-in-transition-economies,2009/01/10153090/effects-privatization-ownership-transition-economies,115901468330323042,http://documents.worldbank.org/curated/en/115901468330323042/Effects-of-privatization-and-ownership-in-transition-economies,"Estrin,Saul","HANOUSEK, JAN","Effects of privatization and ownership in
            transition economies",000158349_20090107093820,"Privatization;impact of privatization on
            company performance;effect of privatization;private
            ownership;efficient allocation of resource;high rates of
            investment;Legal and Institutional Reform;managerial control
            of enterprise;privatization in transition
            economies;transition economy;foreign owner;rate of
            change;method of privatization;rate of growth;total factor
            productivity;hard budget constraint;fixed effect
            model;effects of ownership;concentration of ownership;large
            scale privatization;level of performance;",World,Asia,East Asia and Pacific,"The paper evaluates the effects of
            privatization in the post-communist economies and China. In
            post-communist economies privatization to foreign owners
            results in a rapid improvement in performance of firms,
            while performance effects of privatization to domestic
            owners are less impressive and vary across regions,
            coinciding with differences in policies and institutional
            development. In China relatively more estimates suggest that
            privatization to domestic owners improves the level of
            performance. Concentrated private ownership has a stronger
            positive effect on performance than dispersed ownership in
            the post-communist economies, but foreign joint ventures
            rather than wholly owned foreign firms have a positive
            effect in China. Worker or collective ownership does not
            have a negative effect. In the post-communist economies new
            firms are equally or more efficient than firms privatized to
            domestic owners, and foreign start-ups are more efficient
            than domestic ones. Privatization is not associated with
            lower employment. When accompanied by complementary reforms,
            privatization has a positive effect on economic growth.
            Three factors appear to drive the more positive effect of
            privatization to foreign than domestic owners. Domestic
            managers have more limited skills and access to world
            markets, domestically privatized firms have been more
            subject to tunneling and in some countries new large
            shareholders artificially decreased performance. The
            important policy implication is that privatization per se
            does not guarantee improved performance, at least not in the
            short- to medium-run. Type of private ownership, corporate
            governance, access to know-how and markets, and the legal
            and institutional system matter for firm performance.","Kocenda,Evzen","Svejnar,Jan",,,,,,,,,,
6,10154641,Peru,Policy Research Working Paper,2009-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 4812,"Measuring beginner reading skills
            : an empirical evaluation of alternative instruments and
            their potential use for policymaking and accountability in Peru",http://documents.worldbank.org/curated/en/623331468091168367/pdf/WPS4812.pdf,/research/2009/01/10154641/measuring-beginner-reading-skills-empirical-evaluation-alternative-instruments-potential-use-policymaking-accountability-peru,http://documents.worldbank.org/curated/en/623331468091168367/Measuring-beginner-reading-skills-an-empirical-evaluation-of-alternative-instruments-and-their-potential-use-for-policymaking-and-accountability-in-Peru,2009/01/10154641/Measuring-beginner-reading-skills-an-empirical-evaluation-of-alternative-instruments-and-their-potential-use-for-policymaking-and-accountability-in-Peru,623331468091168367,http://documents.worldbank.org/curated/en/623331468091168367/Measuring-beginner-reading-skills-an-empirical-evaluation-of-alternative-instruments-and-their-potential-use-for-policymaking-and-accountability-in-Peru,"Bazan,Jorge Luis","Kudo,Ines","Measuring beginner reading skills : an
            empirical evaluation of alternative instruments and their
            potential use for policymaking and accountability in Peru",000158349_20090107163618,"Program for International Student;universal
            access to primary education;reading skill;access to
            preschool education;provision of education services;reading
            comprehension;reading fluency;public primary school;working
            memory;health and nutrition;quality of education;Access to
            Education;body of information;gross domestic
            product;preparation of teacher;level of
            performance;accountability for results;quality of
            teaching;reading comprehension strategy;performance of
            school;improve Education Quality;early grade;early
            reading;local participation;educational quality;cognitive
            process;accountability system;student
            population;phonological awareness;reading ability;reading
            disability;oral language;vocabulary development;spoken
            word;reading achievement;word recognition;short-term
            memory;young adult;teaching phonics;score
            distribution;question answering;social factor;written
            language;school year;alternative instruments;individual
            level;performance data;literature review;assessment
            system;urban setting;knowledge level;social group;positive
            impact;scientific consensus;instruction method;positive
            relationship;reading activity;preschool program;middle
            class;class hour;study including;average score;direct
            instruction;poor child;field researcher;older
            adult;descriptive statistic;empirical study;child's
            ability;disadvantaged student;phoneme awareness;random
            selection;adjustment factor;children must;upper
            class;learning process;regression model;school learning;test
            administration;capacity limit;analytical approach;grade
            school;reading score;curricular standard;Research
            Support;indigenous student;individual student;evaluation
            system;performance gap;significant correlation;performance
            level;children read;cooperative learning;academic
            performance;higher growth;en espanol;Social
            Protection;education community;test result;identifying
            student;neural circuits;malnourished child;cognitive
            development;instructional approach;illiterate
            parent;psychological development;factor analysis;literacy
            instruction;international standard;general agreement;census
            results;international assessment;subject area;written
            text;social characteristic;correlation matrix;",Latin America & Caribbean,South America,World,"Based on analysis of reading
            performance data from 475 third-graders in Peru, this study
            makes recommendations on improving reading tests, choice of
            reading standards, and how to present the results at the
            school and individual levels. The paper reviews the
            literature on using reading skills measurement in the early
            grades to guide policymaking, strengthen accountability, and
            improve education quality. It uses data generated from the
            same students using two common approaches to measuring
            reading skills: an individually-administered oral fluency
            test, and a group-administered written comprehension test
            designed by the Ministry of Education for the 2006 universal
            standard test of second grade reading comprehension. These
            two approaches have sometimes been presented as competing
            alternatives, but the paper shows that it is better if they
            are used together, as complements. Based on psychometric
            analysis, the paper shows that both the oral and written
            tests adequately measured students' reading abilities.
            The results show that reading fluency and comprehension are
            correlated: fluent readers are more likely to understand
            what they read than non-fluent readers. The strength of the
            fluency-comprehension relationship depends on the level of
            fluency, the difficulty of the questions, and social
            characteristics of the school. The paper recommends using
            improved versions of both tests to evaluate early grade
            reading skills, as a central element of a system of
            accountability for results. It proposes a model for
            reporting test results desgned to highlight the importance
            of reading standards, mobilize the education community to
            reach them, track progress, and identify students in need of
            extra support.",,,,,,,,,,,,
7,10164001,"World,India",Policy Research Working Paper,2009-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 4813,"Month of birth and
            children's health in India",http://documents.worldbank.org/curated/en/149721468159308447/pdf/WPS4813.pdf,/research/2009/01/10164001/month-birth-childrens-health-india,http://documents.worldbank.org/curated/en/149721468159308447/Month-of-birth-and-childrens-health-in-India,2009/01/10164001/Month-of-birth-and-childrens-health-in-India,149721468159308447,http://documents.worldbank.org/curated/en/149721468159308447/Month-of-birth-and-childrens-health-in-India,"Lokshin,Michael M.","Radyakin,Sergiy",Month of birth and children's health in India,000158349_20090112090024,"access to health care facility;source of
            drinking water;malaria in pregnant woman;food policy
            research;access to health facility;health status of
            women;nutritional status of child;nutrition and health
            care;infant and child mortality;Demographic and Health
            Survey;fresh fruit and vegetable;sex of the
            child;children's health;health outcome;child health
            outcomes;micronutrient supplementation program;prevalence of
            malnutrition;development research group;effects of
            income;number of cars;childrens nutritional status;health
            production function;chance of survival;impact of
            disease;household food security;public health
            programs;distance to school;achievement of child;child
            nutritional status;pattern of change;mother and
            child;improvements in health;malnutrition among
            children;difference in outcomes;quality and quantity;child
            development services;health child;children's
            nutritional status;effect of temperature;linear probability
            model;high birth rate;maternal and child;high child
            mortality;environmental health risk;infectious disease
            control;upper respiratory illness;maternal
            education;household wealth;monsoon season;seasonal
            variation;Childrens health;unplanned pregnancy;environmental
            condition;wealth index;seasonal differences;birth
            weight;birth order;young child;monsoon months;indian
            children;household characteristic;seasonal pattern;parental
            input;good health;population study;cultural change;gender
            composition;community characteristic;seasonal factor;weight
            gain;measurement error;children's development;fixed
            effect;household questionnaire;agricultural
            activity;standard error;positive impact;econometric
            specification;exogenous characteristic;household
            utility;environmental factor;high mortality;adult
            life;anthropometric measure;subjective assessment;nutrition
            program;agricultural cycle;winter season;lean
            season;explanatory variable;mother's age;older
            sibling;hungry season;human reproduction;standard
            deviation;human fertility;unplanned birth;household
            allocation;human population;monthly variations;younger
            mothers;differential impact;poor household;wealth
            effect;educational enrollment;nutritional
            supplementation;diabetes mellitus;dengue virus;child
            malnutrition;breast milk;birth history;comparative
            analysis;behavioral response;Social Sciences;seasonal
            dimension;fetal growth;seasonal variability;infant
            care;socioeconomic background;supplementary
            feeding;pregnancy planning;information campaign;old-age
            pension;birth outcome;rural area;industrialized
            country;Industrialized countries;cultural pattern;food
            availability;male migration;Early childhood;seasonal
            rate;estimated elasticity;better-off household;empirical
            result;summer temperature;heavy rain;reproductive
            behavior;upper bind;social difference;seasonal
            distribution;food supply;food quality;quality food;climatic
            change;immune function;nutritional intake;coefficient
            estimate;small sample;university degree;micronutrient
            supplements;old mothers;employment status;household
            size;Community Services;representative household;linear
            regression;primary health;rural population;random
            error;econometric model;empirical findings;eligible
            child;budget constraint;mortality decline;development
            study;long-term effect;household income;household
            head;family structure;principal component;household
            asset;sample design;descriptive statistic;collected
            information;fertility timing;stunted child;Public
            Services;pregnancy status;childbearing intentions;village
            area;Public Transportation;household demand;excess
            mortality;instrumental variable;0 hypothesis;seasonal
            changes;human biology;nutritional program;immunization
            schedule;unwanted pregnancy;selective abortion;sensitivity
            analysis;exclusion restriction;male child;survival
            probability;summer months;",Asia,South Asia,World,"The authors use data from three waves
            of the India National Family Health Survey to explore the
            relationship between the month of birth and the health
            outcomes of young children in India. They find that children
            born during the monsoon months have lower anthropometric
            scores compared with children born during the fall and
            winter months. The authors propose and test four hypotheses
            that could explain such a correlation. The results emphasize
            the importance of seasonal variations in affecting
            environmental conditions at the time of birth and
            determining the health outcomes of young children in India.
            Policy interventions that affect these conditions could
            effectively impact the health and achievement of these
            children, in a manner similar to nutrition and micronutrient
            supplementation programs.",,,,,,,,,,,,
8,10164014,"East Asia and Pacific,Indonesia",Policy Research Working Paper,2009-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 4814,"Vocational schooling, labor
            market outcomes, and college entry",http://documents.worldbank.org/curated/en/771881468049456978/pdf/WPS4814.pdf,/research/2009/01/10164014/vocational-schooling-labor-market-outcomes-college-entry,http://documents.worldbank.org/curated/en/771881468049456978/Vocational-schooling-labor-market-outcomes-and-college-entry,2009/01/10164014/Vocational-schooling-labor-market-outcomes-and-college-entry,771881468049456978,http://documents.worldbank.org/curated/en/771881468049456978/Vocational-schooling-labor-market-outcomes-and-college-entry,"Chen,Dandan",,"Vocational schooling, labor market outcomes,
            and college entry",000158349_20090112092359,"vocational school;Vocational Education;labor
            market outcome;high school;instrumental variable;access to
            tertiary education;Vocational and Technical
            Education;transition from school to work;senior secondary
            level;high school student;labor market earning;access to
            higher education;academic achievement;test score;academic
            school;vocational secondary school;Levels of Educational
            Attainment;higher level of education;Technical and
            Vocational Education;secondary vocational education;junior
            secondary school;cognitive skill;Center Research;high school
            education;absence of parents;sociology of education;senior
            secondary education;vocational school student;employment
            status;sample selection;course of study;junior secondary
            level;rate of employment;secondary school enrollment;rates
            of return;secondary school graduate;children from
            households;changing labor market;private school
            effect;private health insurance;senior secondary
            school;gross enrollment rate;higher level skill;binary
            choice model;years of schooling;skilled human
            resource;senior secondary cycle;degrees of
            participation;secondary school graduation;level of
            employment;labor force survey;health insurance
            coverage;types of student;academic track;vocational
            schooling;employment opportunity;academic education;negative
            effect;household head;employment opportunities;",Asia,Southeast Asia,World,"This paper examines the
            differentiated outcomes of vocational and general secondary
            academic education, particularly in terms of employment
            opportunities, labor market earnings, and access to tertiary
            education in Indonesia. With data from a panel of two waves
            of the Indonesia Family Life Survey in 1997 and 2000, the
            paper tracks a cohort of high school students in 1997 to
            examine their schooling and employment status in 2000. The
            findings demonstrate that: (1) attendance at vocational
            secondary schools results in neither market advantage nor
            disadvantage in terms of employment opportunities and/or
            earnings premium; (2) attendance at vocational schools leads
            to significantly lower academic achievement as measured by
            national test scores; and (3) There is no stigma attached to
            attendance at vocational schools that results in a
            disadvantage in access to tertiary education; rather, it is
            the lower academic achievement associated with attendance at
            vocational school that lowers the likelihood of entering
            college. The empirical approach of this paper addresses two
            limitations of the existing literature in this area. First,
            it takes into account the observation censoring issue due to
            college entry when evaluating labor market outcomes of
            secondary school graduates. Second, using an instrumental
            variable approach, the paper also treats endogeneity of
            household choice of vocational versus academic track of
            secondary education, teasing out the net effect of secondary
            school choice on labor market and schooling outcomes.",,,,,,,,,,,,
