id,text,label,data_type,totalwords
20604786,This paper uses a new data set to estimate the causes and consequences of foreign currency debt in rms' balance sheet. The vidence from this sample of Chilean firms indicates that dollar-denominated debt is more used by larger firms and those more exposed to foreign competition. We find evidence that dollar denominated debt combines with exchange rate movements to produce a negative balance-sheet effect that reduces firm's investment in periods of strong exchange rate depreciation. This negative balance-sheet effect is associated with long term debt and appears to be non-linear in the amount of real exchange rate depreciation.,1,train,98
8334260,"This study was aimed at testing the hypothesis about the development of lateralization of frontal motor control (FMC) as a source of preference of the right hand human in early ontogeny. The sample consisted of 108 children aged from 8 months (the initial stage of maturation of inhibitory control in reaching) to 11 months (the definitive stage). The main results showed the following: (1) at the population level, the preference of the right hand in the performance of tests that require a definite level of development of FMC appears only at the age of 11 months, i.e., synchronously with development of frontal inhibitory control of reaching; (2) the preference of the right hand is substantially stronger in 11-month-old children with a higher level of development of inhibitory motor control as compared to other children of the same age; (3) the preference of the right hand is most evident for those movements that require inhibitory control (i.e., controlled reaching). On the whole, the data obtained show that the appearance of a preference for the right hand in the second half-year of the life of an infant is caused by the development of cortical inhibitory control over motor acts (FMC), associated with the maturation of the frontal neocortex.",1,train,206
62812273,"This paper considers a flexible panel data sample selection model in which (i) the outcome equation is permitted to take a semiparametric, varying coefficient form to capture potential parameter heterogeneity in the relationship of interest, (ii) both the outcome and (parametric) selection equations contain unobserved fixed effects and (iii) selection is generalized to a polychotomous case. We propose a two-stage estimator. Given consistent parameter estimates from the selection equation obtained in the first stage, we estimate the semiparametric outcome equation using data for the observed individuals whose likelihood of being selected into the sample stays approximately the same over time. The selection bias term is then ""asymptotically"" removed from the equation along with fixed effects using kernel-based weights. The proposed estimator is consistent and asymptotically normal. We first investigate the finite sample properties of the estimator in a small Monte Carlo study and then apply it to study production technologies of U.S. retail credit unions from 2002 to 2006.",1,train,159
21740546,"This project describes application of an evidenced-based, trauma-informed treatment framework, Attachment, Regulation and Competency (ARC), with adopted children impacted by complex trauma and their caregivers. Results demonstrate that ARC treatment was associated with significant decreases in child symptoms and caregiver stress from pre- to post-treatment, which were maintained over a 12-month follow up period. Preliminary findings contribute to an emerging empirical basis for the ARC model and are supportive of its clinical utility as a practice with adopted children. Next steps include; a) expanding study findings by conducting controlled efficacy research, b) examining the transaction between child and caregiver factors as agents of change, and c) conducting longitudinal research of children and families receiving ARC to more deeply examine impact on resiliency.",1,train,122
154379635,"Security regulators and the business press have alleged that firms play an 'earnings-guidance game' where analysts make optimistic forecasts at the start of the year and then 'walk down' their estimates to a level the firm can beat by the end of the year. In a comprehensive sample of I/B/E/S individual analysts' forecasts of annual earnings from 1983-1998, we find strong support for the claim in the post-1992 period. We examine whether the 'walk down' to beatable targets is associated with managers' incentives to sell stock after earnings announcements on the firm's behalf (via new equity issuance) or from their personal accounts (insider trades). Consistent with these hypotheses, we find that the 'walk down' to beatable targets is most pronounced in firms that are either net issuers of equity or in firms where managers are net sellers of stock after an earnings announcement. These findings provide new insights on how capital market incentives affect communications between managers and analysts.",1,train,159
29440311,"The grain industry (mainly maize and wheat) is the largest crop industry in South Africa under rain-fed conditions. Significant changes have taken place since deregulation in agriculture and the termination of subsidies from mid 1990s. The total area under grain has decreased by about 10% to 15% (C. Du Plessis, pers. commun. 2001) due to lower prices (based on import parity and free market forces) and the higher risk of production because of the absence of state subsidies. Consequently, grain planting has decreased significantly on low potential land as well as on high potential land in remote areas.",1,train,98
168590556,"Presentation made at Latinos in the Heartland (12th : 2014 : St. Louis, Mo.) and published in the annual conference proceeding",0,train,21
143591911,"Purpose - This paper aims to provide an overview of the recently introduced concept of work engagement. Design/methodology/approach - Qualitative and quantitative studies on work engagement are reviewed to uncover the manifestation of engagement, and reveal its antecedents and consequences. Findings - Work engagement can be defined as a state including vigor, dedication, and absorption. Job and personal resources are the main predictors of engagement; these resources gain their salience in the context of high job demands. Engaged workers are more creative, more productive, and more willing to go the extra mile. Originality/value - The findings of previous studies are integrated in an overall model that can be used to develop work engagement and advance career development in today's workplace.",0,train,120
151671094,"ABSTRACT This research utilised a ‘stimulated recall’ methodology [Calderhead, J. 1981. “Stimulated Recall: A Method for Research on Teaching.” British Journal of Educational Psychology 51: 211–217] to explore the potential of African folklore, specifically Ghanaian folk stories in the development of children’s reflective thinking about social life. The research was based on Ghanaian folklore for children, which is popularly known as ‘By the Fireside Stories’, encapsulated traditionally as Anansesem or Spider stories among the Akan of Ghana. Data were collected through storytelling to a group of children and inviting them to recall their concurrent thinking during and after the storytelling. The children’s cognitive recall processes were stimulated by questions and story character dramatisation recorded on a digital video recorder and played back to the children. Findings showed major contributions to children’s learning and development related to imagination, concept formation and thinking, and beyond the self in social relationship. This paper draws attention to how traditional oral storytelling can be an important part of early childhood education to develop children’s reflective thinking about social life.",1,train,174
36429673,"This study aims to present time series-based forecasting for Malaysian crude palm oil prices using neural network algorithms. Daily prices of soy bean oil and currency exchange rates are tested as input features, in addition to crude palm oil prices. Efforts are focused on finding the optimal network structures for the modelling of crude palm oil price forecasting. Neural network structures with an appropriate selection of input and hidden nodes are tested. The results demonstrate that the number of input features and hidden nodes significantly impact crude palm oil price predictions.",1,train,91
